country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
1,2343.0,2190,34.5415087,181.49914088,23812,72.62919389978214,96.16953636821768,0.3758189148328574,5.368553670418279,0.015616181000000003,0.008943811999999999,0.00189,0.75539,0.24272,0.304268,1
1,1370.0,1303,225.17830338,182.81355994,199,5.804166666666666,128.53768844221105,1.2964824120603016,0.9045226130653268,0.013587465,0.0071296277,0.006840000000000001,0.7812600000000001,0.21188,0.342805,1
1,1521.0,1091,295.98380714,134.71031589,547,4.051851851851852,135.74588665447894,1.6270566727605118,0.5118829981718465,0.0064353556,0.0065445402,0.0161,0.6839,0.29999000000000003,0.500506,1
1,2190.0,1499,389.60990176,175.79681749,1019,14.124752475247526,116.88812561334642,0.9273797841020608,0.5878312070657508,0.01287156,0.006632019300000001,0.01924,0.91099,0.06977,0.084727,1
1,1825.0,1150,81.06534933,202.52018661,169,3.286111111111111,96.33727810650889,0.9585798816568049,0.33136094674556216,0.0076183286,0.015791558,0.03037,0.90528,0.06435,0.055525,0
0,1663.0,1667,109.31515983,145.56944529,187,3.6060606060606064,89.60427807486631,0.25133689839572193,0.0,0.0059218891,0.015274302,0.02064,0.94272,0.03664,0.048158,0
0,3196.0,2029,59.31565437,274.46955061,1138,9.393867924528301,106.67398945518455,0.4437609841827768,0.5606326889279437,0.010605354,0.0093116863,0.020880000000000003,0.80905,0.17007,0.21782,1
1,2268.962166575939,1247,55.95685624,241.43433785,927,9.584933530280649,127.40237324703344,1.4487594390507013,1.4897518878101403,0.0098093366,0.010514067,0.01043,0.92513,0.06444,0.117483,1
1,1886.0,1212,364.22015644,333.13595459,702,3.2457067371202117,128.67521367521368,1.4002849002849005,0.9316239316239316,0.013606062,0.014583772,0.01828,0.79356,0.16815,0.237421,1
0,2190.0,1825,256.48073737,180.42462663,77,3.5460526315789487,102.63636363636364,0.2987012987012987,0.4805194805194805,0.0064935307,0.0077093379,0.017090908999999998,0.79203896,0.19088312,0.27608961,0
0,1825.0,1095,143.20170486,324.23690359,34,0.30279898218829515,110.76470588235294,1.0,0.05882352941176471,0.0010369505,0.0015638615,0.0,1.0,0.0,0.0,1
1,1825.0,1582,-0.33234944,180.42462663,476,2.557175748273216,122.20798319327731,1.1869747899159664,1.907563025210084,0.014966889,0.0075838016,0.0403,0.77469,0.185,0.248904,1
1,3651.0,1773,-1.67411843,256.91443481,18,0.8873239436619719,133.66666666666666,0.0,0.5555555555555556,0.0074984324,0.0067844614,0.038,0.75,0.212,0.44307778,0
0,2678.0,2678,520.73484908,333.13595459,833,4.364520958083832,99.68067226890757,0.07683073229291716,0.1176470588235294,0.0030030853000000005,0.0034105396000000004,0.00245,0.99131,0.00624,0.002585,1
0,2795.0,1994,186.38749013,323.61269431,150,2.8846153846153846,93.76666666666668,0.1,1.1466666666666667,0.006818996700000001,0.020021385,0.0,0.76646,0.23354,0.297221,0
1,3651.0,2823,38.75594845,222.82225302,2005,6.0574018126888225,102.56857855361595,0.6344139650872818,1.081296758104738,0.010415919,0.0044550099,0.02901,0.75135,0.21964,0.253342,1
0,2556.0,2190,687.08632961,178.44514849,2,0.0112,88.0,1.0,0.0,7.2118346e-05,0.00013156859,0.0,1.0,0.0,0.0,1
0,1340.0,1370,163.59117581,285.23396223,2,0.0275049115913556,102.0,0.0,0.0,0.0029722101,0.0036605769,0.308,0.376,0.316,0.0258,1
1,1460.0,1056,360.3204539,356.91184330000004,159,3.18,76.58490566037736,1.2955974842767295,0.20125786163522014,0.0043867077,0.0046164887,0.00397,0.9808,0.01523,0.024545,0
1,3531.0,2982,113.31515983,269.58455843,924,3.3254498714652962,113.90584415584415,1.119047619047619,0.7337662337662337,0.018124316,0.011531606000000002,0.0073599999999999985,0.89984,0.09278,0.126654,1
1,1113.0,1113,83.27770612,232.91890995,983,6.138269402319358,116.72126144455747,1.0610376398779249,2.807731434384537,0.013393624,0.013633482,0.02172,0.8743200000000001,0.10396,0.14203,1
1,1825.0,1580,393.80877921,276.88415184,6178,38.236958443855,118.45144059566202,2.5993849142117202,0.5840077695046941,0.017353993,0.0091254124,0.01434,0.88308,0.10259,0.129938,1
1,3286.0,1077,378.09398427,356.91184330000004,6210,35.95533498759305,123.39516908212559,2.0842190016103057,1.2191626409017713,0.014086842,0.0031583619,0.01203,0.87751,0.11046,0.15212,1
0,1156.0,933,14.0,163.11061022,6,0.4158415841584158,43.66666666666666,0.6666666666666666,1.0,0.0033450697,0.003804239,0.0,0.63733333,0.36266667,0.32216667,0
1,5326.0,2435,83.27770612,232.91890995,985,5.547063555913113,88.46700507614212,0.09035532994923856,0.7106598984771574,0.019475127,0.012811476,0.0191,0.82562,0.15528,0.187364,1
1,1825.0,527,130.72429107,225.74764867,147,2.467625899280576,112.34013605442176,0.9863945578231292,29.97959183673469,0.008126816700000001,0.0089617884,0.01808,0.8718299999999999,0.11009,0.134135,1
0,3286.0,2890,139.29817637,199.23305615,1056,8.696470588235295,70.61837121212122,0.08238636363636362,0.2518939393939394,0.01753927,0.013219833,0.01941,0.77147,0.20912,0.188514,1
0,1187.0,1370,76.76274681,112.86619311,1255,10.33529411764706,122.01992031872507,2.615139442231076,0.4741035856573706,0.0098367324,0.0072606662,0.03069,0.8670200000000001,0.1023,0.163364,1
0,2268.962166575939,1142,43.09756722,182.81355994,633,4.869230769230769,123.30489731437599,2.036334913112164,10.380726698262244,0.016909039,0.012449336,0.01215,0.77699,0.21086,0.338414,1
1,2556.0,2336,431.01034283,333.13595459,218,2.4934640522875817,100.19724770642202,0.0871559633027523,0.09174311926605504,0.01938381,0.0053809304,0.00848,0.8500200000000001,0.1415,0.196994,1
